doc_id,text
14,okay so it my first day um recording think it was pretty good day um had an interview today where had to present lesson like geared towards fifth-graders to some some students at the college for like program want to do and was really nervous about it but kind of hyped myself up beforehand and um prepared quite bit so was confident going into it and think it went well so after left was happy and um yeah kind of nerve-wracking leading up to it but part of me knew would do well and think did do well hopefully but regardless i've i'm happy that did it and think probably um you know gained something from it regardless of whether or not get into it um had like the meeting to get my wristband on today for this study it was good um pretty straightforward not really many like emotions that come from that um so yeah just kind of getting into the groove of the school year like still adjusting um there not really much stress coming from like my roommates or anything like that um they're both pretty good um um i'm not sure there there not much not much stress right now other than academic stress i'm worried that i'm like falling behind and procrastinate quite bit which is something did in high school and um was hoping to drop that for college but it like it hard habit to break guess just worried that i'm falling behind little bit um but i'm trying to get it get it all together studied quite bit today more than usual so hopefully i'm starting new trend there just lot to keep on top of and it overwhelming feel overwhelmed but it'll all be good and um yeah that about it i'm i'm uh pretty positive today so 
15,so it my second day with the wristband um feel like slept pretty well last night better than usual um like maybe like seven hours seven to seven and half hours it was pretty good um it was long day had lot of classes and that kinda stressed me out don't know i'm just falling behind in my classes and there things that need to be doing that i'm not doing um like 'cause i'm not sure how necessary they are so it just stressful and should probably do it but at this point it like too late for some of it but it like don't know i'm doing fine um and it just the beginning of the semester was in uh i'd say an okay mood today was kind of irritable i've been noticing like increasingly lately i've been quite irritable and um just like negative and really need to stop that because it like it hinders my um it just hinders me um and so i'm gonna try to be more positive in the future and like tomorrow 'cause i've just been in like shitty attitude and don't know why um and yes i'm just gonna study little bit more tonight had um didn't do much today other than go to class we just had like uh an orientation event um lot like mental health and stuff that we had to to for like two hours so did that and now i'm just gonna study like nothing that major um that it 
16,so had pretty good day today um it was unusually stressful at times um in the morning had last night had decided that wanted to switch one of my classes um and switch into another class it was very last minute um few weeks into the semester so it was stressful getting that all figured out and having to get the professor to approve that and now in the future have to catch up like in the next few days and so i'm stressed out about that having to catch up like for what i've missed in the last three weeks in that new class but also relieved because switched out of my first class for region for reason um and am relieved that i'm out of that but also stressed about making up what missed in my new class um uh also had kind of an exciting few hours today found out that i'd gotten to program that had comped for few days ago um that could ha had had an interview for few days ago and found out that was accepted to the program um and guess like they didn't accept many people and so was very excited to be one of the people that was accepted and um yeah very excited about that so that was cool um i'm looking forward to my meeting about that on um saturday and uh yeah i've been studying quite bit well not quite bit honestly i've been studying little bit and been procrastinating quite bit um social interactions were generally very good today had um quite few people um i'm worried that i'm not meeting enough new people and that just have like my group of friends that have now and that need to be working on forming new relationships with more people so that about it 
17,okay so slept okay last night probably for like um like about eight hours it it was it was good and woke up today and spent most of the day um or big chunk of it at least working cleaning bathrooms um on campus for my job so that was um that was big part of my day it kind of tiring um was doing it um think it uh in in in team guess or like in pair with someone else and we're cleaning the same bathrooms at the same time so was talking to him throughout it it was cool um studied lot today still stressed about catching up in one of my classes um but was was pretty productive was good at like coming up with plan and sticking to it i'm still studying little bit right now go to bed in like an hour or so an hour or two um wa wasn't very anxious today feel good and i'm looking forward to tomorrow um me and my roommates are gonna go do some things um in [redacted] we're going to go canoeing which would be fun um yeah pretty mellow day overall 
18,uh so slept pretty well last night got about seven hours um and woke up naturally and was going to go to work today um just like doing some inspections for my my on-campus job um and was gonna do that for like two hours but got really um just didn't wanna do it went after like an hour and stopped stopped that early was kind of anxious because the job involves like kind of pushing on people doors and bothering people and like uh don't know just didn't like it so was like anxious and like stressed out and just was just wanted to leave so did um and then went ca um canoeing with my roommates today and another guy and it was fun but um just had so much stuff to do like school-wise that couldn't enjoy it and it was was just very worried about like the whole don't know just felt like was coming off kind of weird all day because was so distracted or like my head was just in the wrong place or whatever so was worried about how like they were perceiving me today and whatever um then came back and studied for little bit um actually i've studied quite bit and i'm still studying right now am still trying to catch up on my classes it like have so much stuff to do um so i'm trying to do all that and it very stressful um had dinner with some friends that was fun the same group of people that usually have meals with um it was uh good day but stressful day and tomorrow is gonna be very very stressful so i'm not looking forward to it don't know how long how late i'm gonna stay up tonight but um ugh it yeah so have lot of work to do tonight and tomorrow so that about it 
19,so had um kind of stressful day today have class tomorrow that need to um get caught up in but it gotten to point where it impossible for me to complete all the work that need to complete by tomorrow and i'm still procrastinating um and it like there is just so much work to do i'm not doing any work which is very bad um plan of action but that what happening and i'm nervous about what gonna happen tomorrow so very very stressed about going to class tomorrow and ho i'm just gonna stay up for few more hours and read about um and read what need to read [inaudible] do do something and hope for the best um yeah so i'm not looking forward to that stressed out about that i've spent most of the day studying or good portion of it um other than that today wasn't too eventful had some meetings just for like clubs and stuff that i'm doing um which were fine little bit nervous for one of them but only very slightly and it was it was it was fine um got good night sleep uh no okay night sleep um yeah so i'm just very stressed about the class and i'm waiting you know very anxious for it to be over 
20,um so today was uh it was pretty good day not super um uh didn't really work very hard throughout the day um on anything but had was very nervous about my class in the morning had ton of homework to do for the class to make up for and didn't finish all of it in time and was worried that would it would be very obvious that wasn't able to do all of the work and that would fall behind and make bad first pre impression um but actually it went fine and was able to keep up with the conversation and contribute things and um it it really didn't need to do all the work to be able to to keep up in the class which was good so um that went that was fine um and after that had another class it went fine um and then um had to do like little writing prompt which procrastinated quite bit on um i've been think i'm getting little bit better and not procrastinating as school picks up but it still something that causes me lot of stress and still something that do lot of um i'm just very susceptible to like getting distracted by the internet and things like that um and then uh had dinner with like 12 people um because it my roommate birthday and so we went out to restaurant with him and and like said quite few people and that was fun met some new people um saw lot of people already knew it was fine it was cool it was very like low-key it was nice um and then got back and thought about studying little bit but decided to go to bed instead um so tomorrow have very busy day um classes and lot of studying so i'm little bit stressed out about that um yeah so that probably my major source of stress there some like social stuff that don't know i'm just uh [inaudible] i'm um hoping that i'm trying to just make sure that maintain all the friendships that i've created and that can be stressful um but uh it it good it good um and that about it 
21,so slept very well last night um think got like 10 hours of sleep little bit less like hours maybe um so slept very well um woke up at woke up pretty late um ate rel well relatively healthy today up until tonight when had lot of junk food um today was um was just kind of uh something had happened at lunch that just kind of threw me off and irritated me and pissed me off little bit and um just made me upset and so that kind of threw off my day little bit but um had dinner with friends which was cool and um so that kind of like lifted me up again and then um you know throughout the day studied little bit think i'm getting better at organization and planning ahead um and yeah so studied little bit for my classes wasn't too stressful today today went to switched into new class and today was the first day of lecture that was going to attend and um so went to the lecture hall and there was no one there and guess the location of the class had been changed without anyone telling me so that was stressful um and just kind of it was something didn't want to have to deal with and didn't expect to but it was all you know it was fine it was good day i'm gonna study little bit more and then go to sleep 
22,so had um good night rest last night and uh had uh um just you know went to classes that was fine um but had kind of realization today in one of my classes that don't want to be behind anymore and don't wanna like be in class where most people seem to know what they're talking about when haven't done the work which has be-been um kinda the boat that i've been in recently and think would be able to scoot by pretty well if didn't do all the work was supposed to do but decided that at least for the next week wanna do everything that i'm supposed to do read every word watch everything study as uh much as need to like do everything that the teacher wants me to do um and just do really get on top of things it important to start strong and need to get on top of lot of things so today went to the library today to study for really haven't gotten um haven't gotten to the library many times before here so it was for one of the first times and was very productive got lot done got just about all that needed to get done done which was great um worked on getting on top of things read an entire book it was um very productive so uh and uh as opposed to being in my dorm room which has been where i've been studying prior to today and that hasn't worked out very well and i've been distracted easily and procrastinate so think the trick is just to go to the library which is what i'll start doing um little stressed out today about some social stuff but we'll see how that all pans out um and that about it 
23,so slept okay last night um got like about seven or eight hours believe maybe bit more um but which thought was fine um and um had some classes today uh was little worried about some of them because had sections where was expected to participate quite bit and although was prepared was just worried about that won't be able to keep up or something so i'm little stressed about that and worried um uh other than that not much stress academically i've procrastinated little bit today but none of the work have to do is all that pressing um and kind of have problem where don't start work until the last possible minute and usually get things done um but even now that i've decided to be like more efficient and productive and to get done what need to get done find myself waiting until the last minute so need to stop that um and just kind of figure out way to so don't know just stop waiting till the last minute so that um what i'm worrying about today 
24,so spent five hours today working um in my on-campus job cleaning bathrooms um and did that with friend for most of the time so it was kind of social thing in addition to work which is nice and then um came back and worked for little bit i've been working pretty efficiently i've been definitely procrastinating quite bit less um and working on getting on top of things have just lot of stuff coming up which i'm stressed about um but uh i'm getting things together um have not well tomorrow have training for an extracurricular i'm doing which i'm kinda nervous about um even though know i'll do well but i'm just nervous about starting new thing so i'm stressed about that and then actually have to start the the new thing like officially um it like teaching program so i'm gonna start teaching on monday um which is stressful but kind of exciting and cool opportunity to continue something really enjoy so i'm looking forward to that also kind of anxious about it but uh hopefully it would go well i'm positive about it 
25,so just um quite stressed today because um just have so much work to do and it piling up and even though am doing pretty good job of keeping on top of things just have so much work to do and feel like uh have to put in twice as much time to be like half as productive as some of my classmates and like half as put together there people here that are just able to that are so much more efficient and think my academic background like my high school didn't prepare me as well as other people have for uh this school and um so it just stressful to feel like i'm always gonna be behind and that causing like stress and anxiety um which is what i'm worrying about now when i'm just working hard to to get on top of things uh um and it not gonna happen i'm not gonna ever be able to be on top of things and it just kind of really bad feeling um uh uh uh my time management has gotten better but still i'm just very stressed by academics and some special stuff but mostly academics that where the priority is that what i'm focusing on and that what i'm stressed about 
