doc_id,text
5,today felt good when first woke up had pretty normal day had few things wanted to get done um getting closer to this evening felt more stressed out and anxious as my roommate decided to have her boyfriend over without really telling me in advance and then found out that he would be staying over the night as well which didn't really have an advance notice on causing me to be stressed out and feel uncomfortable staying in my room so felt like needed to go somewhere else so isolated myself and tried watching movies but that got my roommate to be frustrated at me because wasn't interacting with everyone else so just removed myself from the room and went off to read and reached out to my family back home for help and my mom was little bit helpful but she also just stressed me out more because she wanted me to reach out to people that i'm not really close with in the end did end up reaching out to another friend and hung out with her which really did make me feel lot better but still feel anxious about going back inside since my roommate and wasn't really getting along earlier and now she thinks that i'm upset with her and i'm not really sure what happened with her boyfriend but i'm gonna go back in and figure it out and in the future thinks i'll reach out to [redacted] and start talking to someone so don't feel stressed out and out of place and can feel more comfortable in my own space in my room 
6,today felt pretty lonely my roommate went back home and is staying home overnight so spent the majority of my day in my dorm room and spoke with my mom on the phone for bit but it really just stressed me out 'cause she was just complaining about my family back home and went shopping but the store was closed so couldn't get my school supplies which made me more anxious because have lot of stuff need to do for my [redacted] class coming up and can't do it until buy the supplies that need um and then i'm more stressed out because i'm shopping two new class this week so i'm gonna have to figure out whatever missed from the last week and lot of people in my entryway was hanging out today but didn't go with them and isolated myself which was not the best plan but have hard time interacting with people especially without having friend already there so isolated myself but i'm gonna work on it and made an appointment with huhs to go and talk to someone so hopefully that will help 
7,today generally felt little bit better went to new class that was super interesting um went to new club that had good time at spent the majority of my day with my friends and my roommate and we did have little bit of trouble but not too bad and talked um for while with my family back home and it was pretty good overall and friends from back home also called me and it was really nice talking to her for the little bit of time and other than that was little bit stressed about the class and having some stuff to do tomorrow just because of having to buy textbooks and being unsure of like how much wanted to spend but will be going to work later in the week and training for second job which will definitely help out the financial uneasiness and tomorrow i'll try out one more new class and hopefully my schedule will be set and that will help me to have little bit of stress relief because i'll definitely have set routine going into the week next week 
8,today was pretty good day overall had bunch of classes so got pretty busy with homework and stuff but managed to get all the assignments done that needed to get done i'm little bit behind on the reading but that just because i'm starting two new classes and still have to wait for my textbooks to come in so hopefully can get caught up tomorrow have pretty busy schedule but talked it out with some friends and it should go all right and i'm training for another job so hopefully that will help me to be less stressed about my financial situation um we had meeting with my entryway today but it was really crowded and hot so didn't stay for long i'm still glad that went because got to talk to few other people in my [inaudible] and got to hang out with my roommate and good friends from upstairs so overall it was pretty good day and may not get too much sleep tonight because still have quite bit of work to do and catch up on but i'm looking forward to the weekend when can have time to go back over everything and really prepare and hopefully get caught up in the classes that just started 
9,today was really good day wish i'd gotten little bit more sleep but after woke up super early got ready for class and had little bit of time to relax and put out some things before had to go to class and class was super interesting and i'm really excited because my book arrived so get to pick it up tomorrow and then i'll get to start reading and catch up on some of the work have been behind on and taking notes [inaudible] interesting have quite few assignments going into next week but my saturday and sunday looks pretty clear just have to pick up some shifts at work which i'll probably have time for tomorrow evening and and saturday evening so that should help and also just got trained for my second job today which was really easy and fun and should start that job either this week or next week which will be nice to get paid little bit more than usual by doing [a supplement] job and math is sort of stressing me out but think i'll get assigned to workshop which will definitely help because then i'll have someone that can help me with homework and things and make it go little easier also had my first day of lab today for my science course and it was really fun and just have to do lot for that but have friend that can work on it with which should make it easier so overall it was pretty good day 
10,today started out fairly well didn't really get enough sleep last night but still felt okay this morning just little bit sore classes were really fun and interesting and felt like really understood the work and had good time working with some classmates as well that helped make it little bit easier also went and worked with dorm crew for about two and half hours which were fun just having something to do that really felt productive and had time to relax in my room didn't really eat enough in the morning which didn't realize until later but then did eat and felt little bit better and towards the end of the evening started getting upset 'cause were just thinking about my cousin who passed away last year and my roommate really wanted to hang out with people but didn't want to but we did it anyway and just sort of got upset and she sort of made scene in front of other people so felt more awkward and so spent the rest of the evening alone in my room and it could kind of tell that were upset but didn't really feel like talking about it but tomorrow we're supposed to get some stuff in the mail and we're gonna go shopping so hopefully i'll feel little bit better then 
11,today was overall pretty good day got to sleep in little bit later and and then got the futon delivered to my dorm and so my roommate and opened it together and sort of spent the whole day relaxing got few of my text books in but decided to focus on homework tomorrow and try and get caught up on the week tomorrow and just spend time today relaxing with my roommate and friend of mine and my friend got into the band which was really awesome and we all went and had lunch together which was nice got to have ice cream and then my family from back home sent me surprise and so got that which was exciting and we basically spent the whole day relaxing in my dorm and sort of planning for the rest of the week we might go shopping for little bit tomorrow but also have to do all of my school work and then later this evening we hung out with people from my entryway and watched movie and made plans for sort of weekly movie night which will be really nice because it really good time to connect with other people and have sort of relaxed atmosphere so overall the week looking like it will go pretty well 
12,today overall went fairly well slept in really late which was nice and relaxing but also had lot of homework to get done and so sort of counterproductive ended up staying way too up way too late working on some of my stuff for class because was really stressed out and had hard time focusing on some of the things needed to get done had quite few assignments and projects due this week and definitely feel like i'm little bit behind but feel like it'll get better when actually go to class also have job training tomorrow so i'll be working shift so it looking like busy day and i'll be starting to set up some appointments to talk to counselor which would help and also need to call huhs to see about going to chiropractor because it hard to work on homework for extended periods of time because my back will get sore really easily so think definitely setting that stuff up for this week will help 
13,today was an okay day stayed up little bit too late last night trying to get an homework done 'cause ended up overthinking problem and confusing myself and having to spend longer time trying to figure it out because it was due today so still managed to get up on time and managed to get to class on time but think i'm gonna try and have set time to wake up every morning to keep into more of sleep schedule my other class went okay and my other high points of the day i'm probably getting my homework back because did well on it um talking to an new people in chemistry class and um working my first shift on my second job it was lot of hard work but sometimes just being able to do something that like manual labor is very helpful it makes you feel productive and it also sort of wears me out so feel little calmer and more relaxed whenever went back to my dorm room also got to stop by brain break and get an hot chocolate and snack which was really lovely and tomorrow only have one class so should have plenty of time to get my homework done for the next day and to work on an assignments that is due by the end of the week 
14,today was feeling pretty under the weather but still managed to get up and go to class felt pretty bad 'cause was kind of falling asleep during class so felt bad for my professor but still en managed to take some good notes and still get bit out of the class so it still good that went and then went back home and worked for few hours which was nice and then managed to get lot of homework done and went to dinner with some friends which was good 'cause haven't been making it to [redacted] on time to eat um and after that we went back to the dorm and took nap 'cause was still feeling pretty under the weather but think i'll feel better tomorrow i've gotten quite few assignments done and should finish up another one tonight so i'll have little bit less to do because picked up quite few shifts at work for thursday so my thursday will be pretty busy other than that i'm just little stressed out because both my class sectioned me for the same time so i'm gonna have to resection but will write them some email and in the end it should work out 
15,today was all right stayed up little bit too late with my roommate and friend because they didn't wanna go to bed and really should have gone to sleep because had lot of classes today and lot of homework that due 'cause i'm trying to get stuff done in advance so can work some shifts tomorrow so really stayed up too late and was kind of falling asleep in classes went by to try to get help with my homework but couldn't find my tf so [inaudible] instead and hopefully i'll hear back 'cause that'll make me feel little bit better about some assignment that gonna be due on friday i'm little stressed because i'm gonna have some exam next week that don't really feel like i'm ready for but since they most of the weekend should have plenty of time to do practice problems and think we're gonna get practice test as well in classes to take home so hopefully i'll have time to prepare for the exam my roommate going through really hard time with her boyfriend which is difficult for me as well because they needs some extra support right now but i'm really too busy to be exactly there all the time um they wanted me to stay up again with her tonight so plan on staying little bit later than wanted to because really needs to go to bed 'cause have some early classes and was falling asleep in classes the other day so think i'll just stay up with her for bit work on some more of my stuff while am and then wake up early to get coffee to try to make they through tomorrow and do have some appointment tomorrow with the counselor and meeting with my adviser in the morning so hopefully it'll all go okay because i'll get some support and maybe some other advice on what needs to do 
16,today was pretty stressful day woke up sort of late rescheduled meeting with my academic advisor because was too tired to go to it went to class um had few other things had to get done and then had to go to work which was stressful got caught in the rain couldn't finish my shift because it was late and couldn't get into the buildings so ended up getting back late to try and start my homework so i'm still up doing homework and my roommate having really rough time so she left to go to talk to someone and we kind of had little bit of an argument so i'm not really sure what to do and i'm not really sure if i'll get my work done 100 like wanted it to be because have class pretty early and just found out that i'll have another extra class have to go to tomorrow which will be interesting so hopefully can get it all done in time and get it turned in and and over the weekend should be less stressed because won't have work and i'll have time to prepare for next week and maybe get caught up and hopefully things with the roommate will work out better in positive was that went to counselling today so that was nice and really think that it'll start helping after start going regularly 
17,today overall was not the best day didn't get any sleep last night had to get up early for classes classes went fine but feel unprepared for my test that next week i'm just actually gonna have some trouble with the homework that was due this evening um went to work had some trouble with that had to work with some delivery guys and they weren't very happy and wanted me to call my boss and stuff so they was pretty stressful but in the end we got everything delivered they just took lot longer than they was supposed to um then went back to my dorm and tried to finish the assignment that had been struggling with and then heard from my mom who told me that my grandmother is in the hospital and they they not really anything her heart rate was just high so they fine but they just made me think of my cousin and the assignment was working on was over someone death which made me think of my cousin more so overall they weren't the best evening but sort of reached out to friend that haven't spoken to in while and they was there for me and my older sisters was which made they better and i'll get to sleep in tomorrow and meet up with some friend and go out to dinner and picked up some extra shift at work so they shouldn't be too bad and then should have plenty of time to study this weekend and get some homework done 
