doc_id,text
6,so today been pretty good day um definitely an improvement from last night with lots of friend drama and guy drama which i'm totally not used to because went to an all-girls school for so long but um mean things seem okay definitely resolidified my friend groups um practicing putting myself first which is definitely something new um trying to understand how college works 'cause kinda just live it out on limb um and you know you're gonna drown if you don't keep up and so need to look at courses because if don't get into with lottery course then i'm kind of screwed 'cause only have three classes so that kind of stressful but it know have faith but also feel like need to get on that um but did get lot of work done definitely didn't think could study with my friends but apparently can and felt really productive today studied for math and my econ homework just doing well and moving forward all this is very new to me so i'm just like getting used to it and stuff but it seems like pretty good day all right 
7,today was [desfrinitely] an interesting day it started out awesome and then didn't get into my class i'm super stressed now ate good food but don't know what to do with my life there no guidance kinda stuck on limb yeah there nothing else really going on i'm just super stressed super super stressed 
8,today got much better than yesterday ended up getting into my lottery class which was awesome made me feel like things worked out and the universe wasn't forgetting about me um sat in my econ classes didn't enjoy any of them um so that was unfortunate um and now i'm really nervous sort of about fail even like econ if i'm still thinking about money and not what gonna make me happy in life and that definitely drives me crazy um but you know did homework with my friends today i'm feeling like i'm with the same people all the time which love um but feel like it could be bad for me later on in life and that not gonna be good but i'm hoping to make more connections have so much to do in so little time and i'm just wondering if this is actually doable and if these teachers are expecting me to do everything or if it supposed to just be like we give you all of this you know do what you want to do from it don't know and this is really frustrating and stressful and guess college is the beginning of being an adult but there just no guidance there it like huge gap between high school and college and don't know how to handle it so that is really really positive just kidding it not um but yeah witness one of my friends having breakdown today i'm surprised didn't have one as well 'cause just really didn't enjoy my classes and that was what was looking forward to but i'm hoping things get better it just the beginning saw my dad today that was good um yeah also had this thing where don't feel homesick at all um and some people do definitely come across that but just don't feel it um feel like there nothing to miss and like where am like the people that i'm with and i'm wondering if that also bad thing and if i'm pushing my feelings away because i'm so busy or don't know but yeah 
9,today was definitely an interesting day spent more time by myself than think have my whole time here um it definitely got lonely it was definitely little bit scary um made me feel pretty isolated didn't love that um but think it something that definitely need to get comfortable with but mean got lot of work done today which is good um took test today was studying for it all day but think uh it paid off which is good i'd been studying yesterday too so it wasn't all cramming but definitely did get nervous last minute and decide to really just do that but got all my homework done for today which is good um let see yeah had really good interaction with my friend today you know told her how lonely got and stuff um and how was nervous that would be that person in the group that we had just sort of left because they put us through lot of emotional stress and didn't wanna be burden on anybody um but yeah she was really supportive really helpful you know reminding me that that not who am i'm very different person um i'm also nervous about classes don't love everything that i'm doing but it is the first week so it could just be don't know just not great but i'm hoping things get better um and i'm still grappling with this idea of do wanna be happy or do wanna secure job or can do both or you know but um yeah that definitely something that been hanging over my head um and is really scary actually um and it not something that can ask anybody for help for which is also nerve-wracking because i'm so indecisive and don't do anything by myself but here to adulting 
12,pretty good day today got lot of work done i've been to [redacted] initiation which was cool um yeah had some time by myself had some time with friends today felt kinda weird it was like lot of stuff to do in little time but got lot of work done and was able to work ahead of time which is important but [inaudible] practicing that is really hard but yeah not bad not bad today 
13,had pretty okay day today um didn't get as much work done as i'd wanted to still trying to figure out how to do what work when um but yeah had an interview today also don't know how that went for consulting but we'll see i'm just coming back from the library now it 145 and was 10 o'clock girl three weeks ago here am coming home at o'clock in the morning from the library but oh well i'm liking the readings i'm learning [inaudible] yeah 
14,interesting day today it was nice doing homework today because was productive yesterday and today so things feel little bit better um got most of one application done still have another one to do it kind of like i'm drowning but like my face is like right at the surface so had air but like you know um you know one wind could really just kill me and i'm kinda nervous and feel like i'm like uh floating but i'm really nervous about econ i'm nervous about you know being on top of things and doing things right and like applying to too much yet not enough and i'm really just trying to figure out this whole experience also coming from an all-girl school social stuff is kind of nuts like guys are thing apparently and like don't know just don't know how to take social cues and that very damaging so that something that stresses me out but yeah it happening 
15,today was pretty good day um don't know you could say like worked with different people definitely worked by myself today and was productive finished applications am super worried about extracurriculars there just so much to do but the comping process makes it like once you get denied there nothing left and that really scary um but yeah i'm hoping everything goes well just have to sort of have faith guess 'cause at this point have no idea what to do um homework is going okay not amazingly um this is never-ending cycle but it okay um yeah i'd give today like not great but not terrible 
16,today was an awful day um [and ain't] the first day that have come in um don't know just come to terms with my actuals emotions how i'm feeling how i'm not doing well feel like don't belong here like i'm not good enough getting rejected from everything and find myself being jealous that my friends got into programs that didn't and i'm so proud of them but at the same time i'm wondering what wrong with me what am missing you know why don't have drive why why am always left out and it super super frustrating because don't know what wrong with me and if did know would change it and just like want to know but feel like things happen for reason and i've always believed that but at this point feel like can't anymore because there no way that i'm supposed to go through this much turmoil this much stress this mus much like self-degradation every single day it just hard to come to terms with my reality when it sucks so much um and did that today and it hurt me lot didn't even trust myself to go to the bridge and just relax because didn't know what would do that really stressful to think about um and don't know if i've been low like that before 'cause block things out in order to forget them but i'm just like super stressed and feel like i'm not supposed to be here and that this place wasn't meant for me which it wasn't but don't know what to do with myself think really might go into really deep depression here and it gonna be an awful experience 
17,today was pretty great day got initiated for the [redacted] that was awesome um yeah hadn't felt like young again you know was dancing with friends went to party um danced guessed whatever they call it here um but also like went to class and got some work done and had an okay meal um but uh guess something that stands out to me today was my connections with people not only did get to meet great people in the [redacted] initiation and like having found my big siblings and things like that but also got to connect with friends um that like met outside of abhwa that were guys actually and guess they're pretty normal which is interesting um it just like i'm able to open up to them where opened up to one person today and just saying that like you know don't mean to come across as like trying to avoid people or or upset or or just like distant it just don't want to do the wrong thing because of where i've come from but which is going to an all-girls school for eight years like just wanna make sure that i'm doing you know th-the right things and not overstepping anything or making people feel uncomfortable because i'd never wanna do that especially because know what it feels like um so that was actually really nice really really grateful and like i'm sort of excited about these relationships to see where they go and stuff um but yeah also feeling like definitely not good enough still um my friends are all better than me and i'm so proud of them but at the same time i'm wondering what did wrong and if belong here but you know things are happening but yeah 
