doc_id,text
9,hello um i'm doing pretty good actually was going through some stuff like prior to getting on campus but i'm actually doing well like getting adjusted um like my dorm and my roommates the food pretty cool my classes are fun so far they're not too hard um got good routine of like going to the gym and just like taking care of myself and doing more to like be happier and healthier um but yeah nothing really bad so far i'm doing not great but i'm doing pretty good compared to how like was like before coming to the school and yeah i'm really ready to see like what school has to offer like what harvard has to offer me this fall so we'll see what happens in the future and yeah 
11,today was weird day like woke up like really late [laughter] probably 'cause went to bed extremely late um woke up at like 1200-ish didn't get out of bed until like 100 um hung out with some friends for little bit but really just did lot of work like catching up wasn't really like procrastinating but just like stuff needed to catch up on um talked to couple of people um it was pretty very decent and then went to the gym uh went to go eat to the dining hall but ate like lot and like one sitting 'cause like didn't really ate that much that day and then had to some more homework probably gonna just hang out and chill for little bit and then uh probably finish up some more studying and then like getting ready for the next week and then try to go to sleep 'cause don't has to be up until like pretty late so that decent tomorrow [aye] lot of work though [laughter] definitely that just part of going to the school it'll be straight 
12,today was actually like really good day went to chapel in the morning and made couple of new friends who introduced me to more friends and it was like the first time like at [redacted] where actually did networking and like it wasn't even like forced or like to get something but it was just like so many different connections and so many things that it put me onto and so many things it introduced me to that was really like excited about doing and that could actually be good for me and my future and was like really really glad to be part of it and i'm glad that i'm here and um just like the new group of friends that i've like kind of have and just like the cou the old couple and just feel like eventually moving forward like this will be better not just like for my life but also like just my stay here and really appreciate like the environment and um did lot of work last night so don't have that much to do today but i'm probably gonna study in bit um uh yeah it was pretty good day really enjoyed it and yeah it was good [come-up] and appreciate it uh 
13,uh today was decent day uh had class in the morning wasn't that hard got it done like early in the day so like just went back to my room got some other stuff taken care of 'cause have like other like un-school-related like work stuff have to do um got lot of packages in the mail so wrote like thank you cards and sent that out uh went to the meeting for club just came back from the gym that why i'm out of breath [laughter] but yeah today been pretty pretty good day um have test have to study for next week that i'm probably gonna try to start studying for it tonight but have most of like the upcoming assignments due but that should be straight just have to keep grinding keep going um yeah i'm looking forward to everything that going and coming along [in] school so far uh yeah i'm really sleepy though [laughter] but don't have class tomorrow until like 1100 so like have that whole stretch of time to just go to sleep and do nothing [not] really gonna [laughter] take advantage of that but yeah it was some okay day not good not bad 
14,so that was pretty okay day um went lifting in the morning so could have more time throughout the day um so went to class had pretty engaging discussion was kinda proud of myself for the input like had because was able to like analyze and do my homework well so came to class like prepared uh i've been doing my homework kind of advanced like when get it so that way don't have that much like piling up so that way don't have to be all the way stressed pretty proud of that too um so far i'm not like drowning like some of my [laughter] friends say it are at work but know like the semester just started so gotta keep up that effort uh socialized lot well lot for me it was pretty decent day uh yeah there was meeting for my organization afterwards uh it was pretty long uh we got back and just have like little bit of more homework to do but it really like just study and like preparing for stuff that not even like due till next week like test have next week that all um yeah 
15,today was pretty okay day um kept to myself little bit but like also like interacted with more people like in when went to the dining hall um went to the gym early in the morning wait no didn't but um went to the gym went to the class had class like most of the day but felt like contributed like to the class think did pretty well um got lot of work like knocked out so don't have to really worry about it but i'm gonna like try to like do more so can reach that inner being like on top of things um i'm still up doing homework but it not as much as like yesterday or like yeah um but yeah it was pretty good day uh had some free time that wish had spent like better but used some free time to do like productive things think i'm like on the way to getting things done it just like getting settled all that 
16,okay well today was uh it was pretty all right day um went to the gym in the morning and went to expos uh felt prepared for the discussion so it wasn't that bad um and think know what i'm gonna do about my first major so i'm gonna say that pretty good uh and then was in [camp] for so long went to [camp] section and went to office hours moved to second office hours was like four hours there but um at the end of the day got lot of it done was able to take nap watch tv chill and all that and i'm still like doing pretty okay [laughter] um just couple more things need to go over to office hours tomorrow for [inaudible] but feel like i've done like adequate [inaudible] and i've done all the homework and feel like i'm like just have to keep going keep pushing uh probably gonna probably gonna sleep like at reasonable time tonight so yeah that it pretty good feeling yeah [inaudible] 
17,today was uh it was an okay day guess uh woke up went to class uh office hours got most of my homework done got head start [with it] on the weekend um then finished up an stuff from office hours went to the gym ate and went to like the last day um it was like this initiation [for like] the club basically it like company meet basically but then after that just yeah [inaudible] just got back it was like [inaudible] [party] but it was really okay don't really my vibe but yeah it was pretty cool guess looking forward to sleeping 'cause i'm extremely tired but yeah 
18,uh today was kind of interesting uh woke up kinda late had an interview it went pretty well searched for barbershop and it was pretty successful liked it it took while to get there but it was pretty cool um ran did an abs stuff went back to my dorm ate showered hmm when got to my dorm got involved with an drama not like physical or anything but just like emotional with somebody from my past and it was just weird feeling and it felt like don't know it just made me think don't really know it just made me like unsure not even like of myself but just like of if i'm making the right choice like emotionally like with other people that just an other stuff uh but yeah it was pretty okay besides that and kinda like that threw me off 'cause like was on the phone with somebody over an old drama for like two hours and then like i've an essay to write and then uh like whole like have the whole sets like wednesday have to study for it so i'm gonna go do that but yeah good night 
19,okay so today was pretty good guess more or less woke up well woke up for church but then like my ride didn't come so like went back to sleep [uh for minute] [laughter] but then went to chapel ate uh worked on my essay that was due like at the end of the week did some reading for my seminar um gym eating uh started studying for my chem test on wednesday and then like was going over it with friend um i'm about to take practice test and then just hop in bed and go to sleep so can get like the best like rest can like 'cause know the week the week shouldn't be that bad like 'cause got lot of stuff done already but yeah yep yeah it was pretty okay day uh nothing crazy i'm just like moderately exhausted [laughter] [i was thinking about working on that tonight] you know like better pattern than have like this weekend and this week before but yeah 
20,today was another day um because i'm like kind of not uh not like really ahead but was able to do some work and then like got most of it done [inaudible] and study [inaudible] to the gym it was good day feeling good because like yeah because like one of my pictures went viral on twitter but yeah it was [inaudible] good it was pretty good day but um then it was like am frustrated with chemistry you know to the point where had headache it was just [inaudible] but [inaudible] office hours [inaudible] but uh don't know mean i'm trying hard we'll see how that work out um yeah think i'm doing okay need to sleep more but i'm about to be in bed before 1200 that gonna be amazing yeah i'll see what tomorrow has for me 
21,today was pretty it was pretty decent day actually um woke up kind of late but instead of like going to the gym just worked on some essays uh then went to class did that had meeting for [inaudible] with the bsa and that was pretty nice um yeah that was pretty cool um was really interested in like trying to do something with them this summer well do try and look into opportunities of that that nature um and then after that uh did more studying for my test tomorrow i'm kind of [there] just hope don't like psyche myself out and i'm trying to get enough sleep so i'll be able to do well 'cause it like 830 in the morning [laughter] but yeah feel like studied and prepared and all that but at the end of the day think i'm doing pretty well just had to keep going and keep pushing but think did enough like in advance so won't be too stressed out this week tomorrow should be my only like rough day 
