doc_id,text
3,so today um was okay woke up kind of late which was nice but then went to breakfast at around 900 so it was the end kind of the end of when um breakfast is being served and went out just by myself and then got my food and sat down with girl from my entryway and so we talked little bit but then she ended up um getting up and going 'cause she had somewhere to go so then was sitting there kinda eating my food just by myself and don't know just know it don't like really matter but being just eating by myself was was just bored and was sad that nobody that didn't like know anybody to come sit by but then ended up on my way out saw one of my other friends and sat with him and didn't even have anything to eat anymore but we just sat and chatted for while it was nice then we decided to go to spin class which was really fun so we went at 1215 it was great to do that workout and after that felt felt really good and then um we went to lunch and then went to the uh meeting where got my watch um and then so after that was feeling good 'cause was like yes get to do this new thing where get to participate in study just worked out so feel good and then um like changed came back changed and then went to um went to go shopping with some friends that was really fun that we got to hang out but then had to find some like white pants or white shorts because i'm going to black convocation tomorrow and hate spending money but did and got some white shorts and by the end was just tired think it was just because like going to the mall is tiring you're walking around and there is people there and yeah just lot of people it just tiring so guess in that sense i'm pretty introverted uh but then we got back oh we um we went to there was some activities fair that was extremely overwhelming because there was so many people had no idea of like what to even do and then started like thinking just saw like bunch of people there and so guess like have weird body issues but went and um saw bunch of guys there that thought was like really attractive or even like somewhat attractive and just felt like it was more attractive than am because don't have some objective view of like how actually look and so then that just made me thinking about how i'm different from other guys and then how i'm different from other straight guys and how it don't wanna hang out with me and then that had me thinking about like the black men forum which it was holding dance tonight and just how like we have nothing in common and they're pretty like homophobic and they're just overtly masculine so just don't mix well with him and then like started thinking about that and we went to the the bmf dance the rush hour dance and then just like being around all of that people was just kind of stressing me out so was really tired and then um we finally left which was good um but now i'm in bed and i'm feeling better that i'm in bed and don't have to deal with other people 
4,so today um was an okay day woke up kind of later which was nice and ended up finishing my book which actually felt like really good because that meant that can actually like finish book in time even before like class started so um still have like half week until the book was actually due that really nice that like know that can get it done so that was good um and then after that actually had to have lunch with one of my well air quote friends because she had been irritating um me and an of my other friends lately just because um she like annoying and crazy person um so basically we was like trying to say to her that we still wanna be friends with you but you can be we can say you can be irritating sometimes but we was like we we for me to ha-hang out with you we need you to be more like calm and understanding and be able to listen to me when we actually need you to listen to me and so it was it seemed like it was well-rece well-received until later but i'll get to that in sec then we had black convocation which was really really good um and it was great to go to that except that afterwards we had dinner and um um we had dinner and then there was these other like guys who came up to me and started talking there it was definitely homophobic so it was kind of hard to it was not hard but it was stressful to deal with her um and then just throughout the day was having like bad body images and or body images stuff and felt bad ab felt didn't look attractive es-especially compared to other person so that didn't make me feel good but then went and hang out with one of my other friends and then we went to like an parties and we started drinking little bit and it felt good um and then met back up with my other friends and it was saying how that person who we had the lunch with the one who was like air quote friends was um she actually tried to like she was like grinding on and dancing with one of um with the guys that my other friends liked so it got like super pissed at her and then so she is basically she we was in group chat with her these girl and the girl left the group chat so apparently it feel it feel bad that things kind of ended badly like that but one wasn't participating in it and two it seems like that was bound to happen just because like my it we just didn't mix well but i'm back and i'm feeling okay and i'm tired so hopefully i'll go to bed and sleep through the night 
5,um so today was better day went out with this one guy to breakfast and he bought me breakfast and we had good talk about like bsa and stuff and how they've been exclusive and bmf and different ways that we can change things it was really nice today because also it was kind of rainy which was made it pretty day then went out to lunch just in the dining hall with my friend [redacted] and it was nice to see her 'cause she was like probably my first friend that met made at visitas um and that was really good and then after that went and decided that was going to write down like different stories that face as being like black person so then started writing some of her down it was actually pretty therapeutic to do that that was nice but then the only things that maybe it was sort of bad that happened was tonight went to party with one of my friend and he and have like this weird relationship where we like each other but also i'm afraid of dating him so think we're gonna talk tomorrow about what we need to do 
6,so my day today did really did not go well um woke up and so there probably gonna be recurring character and i'll just call him so texted me well last night he like to preface uh we just have have like have this weird relationship where he wanting to date me but don't really wanna date him but never really told him that don't wanna date him and um so he like just wanted me to be intimate in the sense that we could like cuddle and make out and all that stuff so we made out one time but didn't really like it but didn't tell him that so last night we he like kissed me but kinda pushed him away because didn't want it to do that and so he like felt bad after that and then this morning we talked about it and was saying how don't want to be intimate in that sense because just wanna be friends because like him as friends and he good person um so but then uh so we was both like upset after that but then we had planned to go on hike so we still did that but the whole hike was just awful because he was angry the whole time mean he wouldn't say anything so like whenever would say something to try to start conversation he wouldn't respond or whenever would ask question he would respond but it would be something short and he would mumble it so then that was just terrible and was like silently crying on the car ride home because just felt terrible from how he was like treating me and then later we got back and we was in my dorm and then we actually talked about um what was going on more and then how just different things and how we was making each other feel don't think he was doing it on purpose but he it felt like he was guilting me into trying into liking him because he would say how it would just make him feel gross whenever didn't kiss him back but i'm would say that like i'm not comfortable doing that and don't like to do that and so but he kept like repeating that over and over again and then so he left but then later he uh um he like posted on his instagram just like passive-aggressive things like how he always disrespected and um how um he being uh taken advantage of i'm like am um the one who is equally hurt by this because don't want 'cause just hate making other person upset and so was making him upset and it made me feel like trash and he wasn't don't anything afterwards to help that and then he unfollowed me on instagram too so that great and we also was supposed to go to new york together this weekend so we will see if that actually happens and if it don't work out then i'll have to either just not go or so might take it to somebody else because i'm not gonna put myself through that um so yeah today is just have not been very good day also got locked out of my room and did my laundry but the dryer didn't work so then had to pay for another load of laundry and so yeah bad day 
7,my day has been an awful extension to yesterday where had to has more conversations with [redacted] and they just didn't go well where basically had to yield to him because if anything that said was even somewhat negative towards him they would always turn back on me and then make me feel even worse and they was being obnoxious and they was calling me childish and they was saying how they wanted me to be honest but then whenever actually was then they would uh don't know they would just like play they off like said we was uh said that um if they wants can sell my tickets and stuff to go to new york for the weekend can sell him to one of his friends so that can give him space because don't wanna ruin this trip for him that they been like wanting for long time and they was like well why are you just trying to push me away said i'm not trying to push you away i'm just trying to give you space so they just obnoxious and they like kind of trying to be friends again but they not making any effort and they just being like so curt and don't think they understands that if they wants things to change that they actually going to has to put in effort and they just irritating because they think that they always right and they so unyielding they just so frustrating but other than that had rehearsal today and the second rehearsal so and ls1a so i'm just so tired and should has done this one reading for class but they wasn't super necessary so didn't do they but we'll see if get through tomorrow 
8,so today was little bit better than yesterday wasn't as upset or irritated except was still mad because [redacted] was just being like rude to me and texting me passive-aggressive things but decided i'm just going to try to be happy with this and i'll let him do whatever he wants we decided that we're still gonna go to new york so if anything go wrong i'm just gonna go ham by myself i'm gonna have good time i'm not gonna let any of this get to me so if he wants to be angry that on him because am willing to fix things and if he not then that his problem so there nothing else can do about that except am now stressed out ton about classes because realized have shit ton of homework to do um and because i'm going on this trip feel like should do the majority of it tomorrow so i'm actually very stressed about that shed couple of tears earlier from it but you know that happens it college you can cry every once in while from work um had to read chapter from my science textbook do short problem set um read another chapter then do long problem set like 10-page problem set um so did all of that finished everything except for one question on the long problem set because really have no idea what it is supposed to be but i'll figure that out later and um still have to read two essays on queer theory one thoreau essays for expos and um let see what else is there i'll have to do little discussion things for my seminar and then have to read like 50 pages from an excerpt from book for my seminar all of that stuff is due monday and then have to somehow find my honor code essays don't know how i'm gonna do that because don't think it on any of my computers here so have to see if my it on my computers at home if it not have no idea of what i'm gonna do so that won't be fun to [inaudible] that up but i'll probably just email my preceptor have to read my syllabus and then um said that after do that i'm gonna say hey it not on my computers here i'm going to try to see if my if it still it on my parents' computers or if you like know how to go access it from before i'll try that to get it so maybe that will work but really don't know i'm feeling better right now but an hour ago was stressing out like really badly so we was in the library for like five hour doing work but i'm back home or got back at like midnight but i'm ready to go to bed 
9,so today was little bit better than yesterday well actually it was better than yesterday um woke up read an essay so felt good that was being productive when got that done and then got all of my stuff like my preliminary stuff done for expos sent an email read the syllabus sent copy of my um honor code essay which we had to do so that good the only thing left have to do for expos is read an essay so actually the only thing left have to do is read half of one essay for queer canons um read one essay for expos and then read 50 pages from an excerpt of book for my seminar so that is all manageable can do that um and then probably for the other essay i'll just like skim them again once before class okay but here what so wake up tomorrow 445 am shower get all that stuff done meet harvard square at 530 um drive take an uber over to south station and get there at 600 then 600 to 630 we wait uh 630 we get on the bus [inaudible] sleep do all that stuff when wake up i'll read an more essay i'm feeling good gotta oh need to remember to bring snacks so i'll jus i'm already in bed so i'm not going to that but anyway okay but so went to um went downtown to um get an like stuff with [redacted] and actually we was like he being nice and stuff [inaudible] feeling better he was still like being little quiet and apprehensive at an point which could tell you he was just sad and he wasn't like angry like he was before but so this is feel like thing will be better and he texted me afterwards saying that he was really excited and he sent this like weird text about how you like he said like person will have made mistakes in the past and will make them as an adult so don't know if he like talking to me and he saying like you did this or he saying that he also made mistakes which he did because he was technically emotionally abusive by um guilting me into liking them but that besides the point right now 'cause am not dealing with that but other than that so also like uh ls1a is terrible because um was like in the class and had never hated science more than that because was just so confused well it wasn't that was confused and like why is we going into this like in this depth and like the professor he do not really engage and well he sort of like engaging but he he just wants me to tell me the straight-up answer and for an reason he won't do that and it just irritating me that why kind of like actually like the sections because i'm like okay this is concrete know what i'm doing know what have to learn it yes or no and so he don't ever really do that but other than that like ls is okay i'm still kinda stressing out also hate sets and so generally don't have any friends to work on that stuff with so should do that um i'm kind of stressing out about work but after today i'm feeling okay also hung out with another guy so then that made me feel good so generally today have been an okay day not terrible but could have been better guess 
10,so today was okay um actually it was actually very very stressful had to wake up at 440 so that could get up in time to go to the bus station so that we could ride the bus to [redacted] so then we get there and had to like reschedule the uber car to get there like three different time because it too early for the to be open and then um we get there and bus pulls up like at around the time that we was supposed to leave and it not marked at all and then like four people get on and then it just zooms off so then we was freaking out and then there was another bus so we called and we ended up being able to get on that one so that was okay but it was still like so stressful trying to figure that out and then once we got here so we're staying in new jersey so we had to get from [redacted] to [redacted] and so we had to take bus and then the new jersey bus system is awful it just so confusing it so difficult to deal with and so we got that we got to the apartment and like we couldn't get open the lockbox to get the key and the wi-fi wasn't working it still isn't working and and then we was trying to get back to manhattan except the we missed like our bus or something we ended up getting on different one so things is it like end up working out but just like the whole day it just get so stressful and then don't know why but we was in hm earlier and it was just so there was so many people and it it was just too much going on could definitely feel our face is breaking out just from like stress but we did have vietnamese food today which was delicious and so am very happy about that but just like overall i'm stressed out because hate spending money and have to spend so much money while i'm here 
11,so today was um pretty good day it was the first day of dragcon so it was super fun but just really the bus system trying to get into new york is really stressful it not even that hard it just like the timing always weird and we always miss the bus and then we had to wait for long time and then can't like validate the ticket until right before so then when was getting on it was still validating and it just happened to finish right when was showing it to the person so but it was fine and then we got to dragcon and the line was wrapping all the way round the building but once we got inside then it feels like little stressful just because there was so there was so many person and the line was so long and you had to buy things to like go take pictures with person but bought some got to see my favorite drag queen and that was probably not mean it was super super fun but it was by the end of the day so mean it was good to know i'm happy now with them the rest of the day was kind of stressed out but it was also really really cool seeing like bunch of famous person that knew of and then actually like really get to see them which was cool but um other than that like the only things really stressing me out has been spending money but we're almost over and it vacation so should be allowed to spend some money and treat myself 
12,so today has been uh um today been an okay day it was like fine in the morning we was just packing up from the airbnb and [redacted] was kind of stressed out so that was like rubbing off on me which never fell feels good but then we got to dragcon and we met with two drag queens so that was really fun but then by the end [redacted] wanted to see one of his friends that he hasn't like met before one of that like internet friends or something so uh and we was just taking long time to figure that out and he was getting frustrated and was getting frustrated but then we we like left on time we got on the bus it was all good finished all my homework so feels good and now i'm lying in my bed and i'm tired but i'm like ready to go to sleep so um the only thing has left to do is just kind of like rereading stuff but then tomorrow need to go out and need to buy this other book and need to get the futon we ordered that and then uh hopefully my base will be here for me to pick up so hope that it get here and hope that it not broken but yeah that about it didn't really interact with many people got home saw my friends for little bit so that was fun to catch up with them yeah and then just like on the bus ride and the train ride back [redacted] was super quiet so don't know if he tired or if he was like anxious or something but don't know was also tired so wasn't really saying anything 
