doc_id,text
1,okay so have had pretty good day today like it was the first day of classes and only had one classes and was really excited for it and think it gonna be really interesting like the tea the professors are really enthusiastic and 'cause only had one classes was able to get lot of work done today which was happy about the only thing was that like since spent so much time in the library working wasn't able to like um like spend that much time with people today and also accidentally skipped dinner mean like it was on purpose but say accidentally just 'cause um and another thing was that we went to like me and and some people in my entryway went to like eco-friendly convention at one of the dining halls and got free mugs and water bottles and it ran out of smoothies but that okay because we got free mugs and water bottles um and got lot of sleep last night so that was good and yeah all in all it was great day [i'm okay] 
2,okay so had really good day today like was kind of nervous in the morning because had class it was language class and felt like wasn't really prepared for it 'cause didn't study much this summer but um it ended up being really good and i'm like really excited for the class and it was really small class which was nice and went to the library and got like pretty much almost all of my homework done like just have like some very small things to do for um like two of my three class went to another class too and like my other class went to was really really funny and so liked that as well that was good and like was more social today like didn't spend as much time in the library since finished so much of my homework last night and um or yesterday and um like also so was like like um two of my um friends was in um one of my class afterwards like was walking with one of them and and then after that like went to the library and got all my homework done and then after that um or not all my homework done but almost all my homework done and then after that like went to the um went to dinner with friends and also went to lunch with th with two frie with friends today so like yesterday like skipped dinner to study and that was like not as good but today didn't skip anything to study and was like more social and then also went to like social things um later in the evening um and ran into two girls that know one of whom is going to be in one of my class class that we're both really excited about and like spent like literally like the past three hours just standing at the event like talking to them and some other kid and like we just like we was just standing there talking we wasn't even participating in like what was going on at the event and like like we was the last people there like it was like taking down when we left um so that was um good interesting fun so like i'm really excited for all my class and um like feel like like could be like really close friends with that girls like them lot and yeah it was good day missed um study abroad lecture that was planning to go to because literally just forgot so that was like almost bummer but also like not really because don't care um so yeah all-in-all fantastic day um goodbye 
3,okay so didn't have any class today so woke up really late and then laid in bed for like an hour and then when finally went to lunch me and an friends just sat in the cafeteria for like another hour and then don't know just wasted time all day had nothing to do and then went to um like thing that they were having which bunch of my with bunch of my entryway mates [laughter] and there were dinner and there were lots of clubs and they were overwhelming and then we went to dance thing like dance show so like basically i've just been doing social thing all day instead of being productive and or mean like not like didn't have anything to do that were productive and um then went to we went out to cafe and we were at cafe for long time like causing um ruckus and like being annoying [laughter] to the other people in the cafe but that fine so yeah um basically be like they were great day don't know every day great day goodbye 
4,okay so today um okay so today um had no school so no class and like and like all my homework is done basically except for like very very little bit and so today went to [redacted] to museum which was nice um it was like like there was one exhibit that really wanted to see but it was under construction so couldn't see it so that was like almost sad but found some birthday present for my friend even though her birthday in two months and then that was like almost stressful because was supposed to take the shuttle back to school but then like the shuttle was nowhere near where it was supposed to be and it wouldn't say what time it was coming and my phone was gonna die so had to get some [umer] uber for the first time in my whole life and was like not about that life um and yeah like woke up really late today and like sat in bed again because that what do when have no class just sit in bed for hours and um but um before going to [redacted] and after going to [redacted] came back and sat in bed some more and then like went to per dinner and performance with um my friend and entryway mates and with the dinner um the performance mean was really really nice it was some cappella thing and it was awesome and it makes me wish that could sing but can't um so yeah that was my whole day and um it was like pretty good like would not say like fantastic i'd say like almost great like very good was my day okay bye 
5,okay so it think it was like kind of weird day like woke up um late and it started good like went to breakfast with my friends and got waffles and it was amazing it was delicious waffles they're the best waffles ever and went to um try out for the debate team oh no i'm not is that too specific don't know anyway went not to try out for the debate team but to go to debate team thing 'cause wanna join the debate team and like it was really cool i'm really excited to come to debate team and was like really excited and happy for that and then like after that don't know like went to the library and couldn't really focus that well on my homework didn't really wanna do my homework and um don't have lot of homework like have very little amount of homework and it not even due till tuesday but really couldn't focus on it and then like went to like this um pdh association like open house thing and it was overwhelming and um like so had to leave like don't know was just not having it and then like spent the rest of the day well not the rest of the day but then spent lot of the day like laying sitting in my bed like kind of doing homework but like also mostly not doing anything and like don't know it just at some point during the day just felt like really super sad for some unknown reason feel like 'cause like don't have classes right now like like it long weekend and don't have classes on friday so it always long weekend that that just like and since don't have any homework like there nothing to like motivate me to do anything and so after like not doing that many like thing after while just get like sad and like 'cause feel like like unmotivated don't know so was like sad but then it was okay because after that went to like dinner with my fr my friends was there and then went um to my friends like went and watched one friends like do practice audition and went um to another friends dorm room and we like there was three of me in there and we was just sitting in there talking for like very long time that why i'm til that why i'm recording this so late we was in there talking for really ni long time and that was really nice like so yeah like it was like don't know it was like good day and then it was like bad day for little bit but then it was good day again so it like good day but like don't know think just need to go to bed 
6,okay so today um was labor day so had no class today and was really tired for some reason over the weekend so today decide to like lay in bed for as long as could which happened to only be until like 1030 because had to go and get up and go to [inaudible] and check out book and like do homework for the psychology also did my french homework um but luckily or not luckily but like night well good don't know what i'm trying to say um anyway fortunately finished all of my homework like for real for real like all of my french homework that was due actually did not really finish my abnormal psychology homework but they didn't really assign abnormal psychology homework don't really know what my homework for that class is supposed to be oh don't know if i'm supposed to share that i'm taking that class anyway um and then so was at the library for like legitimately like like five hou no like more than five hours no like five hours yeah from like 100 to okay four hours from like 100 to 400 was at the library and before that was just in my dorm um like laying in bed and also doing french homework but didn't even go didn't even leave to eat did not eat breakfast or lunch um and then after that went to dinner with my friends we went to ramen place and ate so much ramen because was so hungry and then after that was so full that they hurt and then went to thing for club that wanna comp they debate club i'm just gonna put they out there don't know like how specific is too specific anyway went to thing some info session about debate club because i'm gonna comp debate club and i'm really excited for that and like they feels like they been really short day because was was um like in the library so long but they don't matter feels like got lot done so that good um but yeah that they 
7,okay so today like got sufficient amount of sleep but also woke up really tired because just because of circumstances outside of my control mostly because could not um like had to pee that why had to like really pee and that just screwed up my whole sleep schedule and um but went to class today and really like my class and am like really excited and did part of the homework not all of the homework today and then went to the library did no and then went to lunch with one of my friends and was at lunch and then went to library and then went to my other um went to my abnormal psych class which is class really like and then after that went to like hung out with some people we went to the coop and stuff am am allowed to say that don't know um and then afterwards had like forgot how specific is too specific um and then afterwards we went to different library to study so got like lot of studying done today but was still like um social which was nice and then after that came back to my room studied more kind of skipped dinner because was doing stuff that like was like kind of studying but not really studying and um like was just being productive and then went to social thing in the basement of my dorm with my entryway group and it was fun had good day really like my class really like hanging out with people really like um life in general it was fantastic day 
8,okay so today um was good day because so had um some class today had like linguistic class and then had the first day of my freshman seminar which was very excited for and which i'm still very excited for i'm still very excited um it only have like eight people in it including myself not including the professor like including me myself and the profe me the professor and the tf there are 10 people in the freshman seminar so that nice um um i'm very thirsty um today after like my class my first class today like also like met girl named [redacted] oh should not supposed to use specific names met people today who are very nice who are in one of my class like her there also have another people in my class who like um who lives in the dorm on campus wh-who goes here who like lot and after anyway after linguistic class went to the library and studied and was productive wait what day are it don't know was productive and then after um was productive went out for job interview someone emailed two people [inaudible] emailed me because applied for applied for like thousand job in the past two weeks and like two people finally emailed me and it was like please come in for some interview so went in for one today and i'm supposed to goes in for another one like tomorrow of the next day or something don't know but i'm very excited i'm very excited to have job again and to be making money again instead of just losing money again and have job interview and then my freshman seminar and then went back to the library and like studied and was very productive and finished all my homework for tomorrow all of it and um what else did do um after that came back to my dorm and was too lazy to walk all the way to [redacted] to get dinner um so me and ordered pizza actually like say me and my roommates but really it was just me 'cause was going to order pizza no matter what um and now and then like kind of spent lot of time procrastinating not lot of time like after once was in my dorm spent quite bit of time procrastinating like doing my french homework which was like kind of some issue for me and that why it 1200 are right now and i'm still not asleep like would've liked to be asleep earlier but i'm not because ruin my own lives um but that okay would say all in all with the procrastination and everything it was still fantastic day because had job interview and also finished all my homework anyway it not even that late i'm still gonna get like eight hours of sleep but the only thing wish you know what would make this lives better if there was freaking water in my dorm room because i'm dying of thirst good night 
9,um okay so today um was good day um mean like not don't think really like don't know my emotions are always like pretty positive and like never for any specific reason like as long as nothing bad happened like there no reason for me to not feel great um so today had classes two classes um two cla like all of my classes and like my classes that had today and was very happy to go to them was very excited to go to them i'm still very excited to go to them even though they're not till next tuesday now 'cause it thursday today um and went to think have like think have an issue think have like hyperactivity disorder or something because uh like it are 1153 pm and there no reason that should feel this excited feel like feel this excited at like like random times for no reason like all the times and don't know why anyway um today went to classes and then went to study and ic was productive today went to um two places libraries went to two different libraries today was very very productive literally did like all of my homework except not literally did almost all of my homework um like like like so much homework that like came back my room and did not need to do any homework and don't need to do any homework i'm gonna do homework tomorrow but like could hold it off for like week if wanted now but i'm not going to do that because i'm that kinda person also got like textbook in the mail i've also been texting mom that have been um something that are not too good um because my family lives in um my my family lives in florida and um hurricane irma are currently hurdling towards florida and that frightens me um i'm afraid actu i'm yeah that scary to me but like feel like they're gonna be fine so hope it are fine because um mean yeah um because that would not be good if it weren't fine um other than that what did like didn't spend that much times with person today like li like literally on day that have classes just spend like got to classes and then spend the rest of my times in the libraries until like late at night like today was in the libraries until like 800 pm just like librarying was also kinda distracted today but like still managed to get lot of top work done in like not that much times really or mean it probably it was like four hours but it was like still usually work really slowly um and went to thing um like exhibit thing an art museum uh really just went for food and got there so late that there was like hardly any food left that was disappointment but still got chocolate that was not disappointment um and other than that um was so um uh leveled la ni so wonderfully productive today that are watching netflix now not right now it paused and i'm in the other room but i'm gonna go back to watching netflix after recording this and like i'm just so like i'm don't know i'm just really happy don't have any classes tomorrow i'm like very was very productive i'm watching netflix like it like just great day every day are great day and today are especially great day today no today are fantastic day i'm gonna eat fruit snacks even though already brushed my teeth goodnight 
10,um so today did not have any class so slept in like really late um and like stayed inside for as long as could just like to like like on days that don't have class or don't have things to do just like to stay in bed for as long as possible because on days when do have things to do have to get out of bed before want to so but didn't stay in bed that long did go to lunch with friends and um studied at library there was like an animal farm things going on so got to pet an chickens and ducks and and and goats and bunnies and pigs and it was so cute and studied which was really nice and there seems to be people shouting outside my dorm right now that great um and even went to like dinner with pe oh wait did go to [laughter] yeah went to dinner with people which don't always do and was like um so i'm comping club i'm pretty sure already said the name of the club in another one in another audio recording but don't remember how specific or not specific these are supposed to be so comped club well no went to like the office hours to prepare to comp the club and feel lot better about what i'm gonna have to do tomorrow um so that was nice [laughter] what else did do went to um um after dinner don't fully know i'm like i'm like not remembering right now but after not right after dinner think but while after dinner went out with friends and these are so cute went out [on] friends and an other people and we went um to an parties we went to several parties um which was cool mean it was fun kind of like don't usually um don't know think i'm sleepy right now which are why i'm struggling and was li was drinking at the parties so mean don't really that might be affecting my memory don't know oh look i'm back and it was fun we went to bunch of places it was nice it was all good and um yeah now i'm back would say that had really good days 'cause it was like fun and relaxing didn't really do any homework today which are like first for me [laughter] since being since class have started not doing homework that first um but it was fun days so i'm feeling good like right now i'm honestly just feeling sleepy but also content um so good night 
