doc_id,text
9,it was nice to have new faces and people to recognize and say hi to in passing today uh those people met from my academic classes this past week it was first week of classes so uh just having short conversations saying hi in passing uh was new and good with those said most of the people spent time with today was my the sa uh the same close group of friends uh on another note uh there was one people in particular today who uh pleasa who was pleasantly surprised with uh had preexisting idea of how thought he would be thought he would be significantly tougher and meaner than he actually ended up being those was um positive experience um he accommodated me and friends need today um and thought he would um give me lot harder of time about it um so those felt good overall uh not particularly stressful day um went to classes went to practice went to lift uh nothing particularly out of the ordinary 
10,today was good day feel like made some good connections with people on the mbta and at the red sox game uh and just in general saw lot of people and even just made quick conversation with um people that had never met before um found some cool connections that didn't know before uh it was great seeing old high school friends at the red sox game today went with them that was definitely positive and it definitely high point in my day um today low point would have been one particular class that the material was uh particularly difficult but know i'll have the weekend to look over the material and uh reinforce that and learn it more and worst case go to office hours and get that squared away didn't cause any stress or anxiety just um little frustration i'd say that it didn't come easily in class the other class today was quite easy and no trouble at all made me feel good uh baseball practice was uh good no stress there um the workout was um intense but definitely uh we made it fun uh all in all no complaints 
11,mostly likely did not get enough sleep last night i'd say woke up too early to loud noises outside that definitely um i'd say was it kind of threw my day off woke up with headache um which had the day before um after getting pretty carsick um so woke up with headache think it might be my sinuses um didn't impact my interactions with other people um not at all today did some work um by myself um and then at meals was really my social time uh went out with friends sat down with people didn't know and chatted up and met some new people um went out with friends this evening um and had had fun but um other than that i'd say uh emotionally felt good um oh did take nap which sometimes do especially after exercise um especially when don't feel like got enough sleep the night before um and right now i'm going to bed far too late so interesting to see what tomorrow will bring 
12,today started with waking up little earlier than anticipated or wanted woke up uh with headache um from my sinuses um which could be allergies could be catching little um bug or getting over little bug but it didn't interfere with my day uh the people interacted with today were friends and i'd say friends of friends i've met some new people um and made some connections with them uh just conversation uh and it uh stayed in the dorm watched some uh football and we did some work together not super stressful well in advance of the deadline which is at the end of the week um but with that said um felt good to get uh the majority of my work done for the week today uh and it were fairly low stress today uh nothing really pressing uh i'd say it were pretty even kill day no super highs no super low um which in all honesty is pretty good 
13,today started off on the wrong foot i'd say got up pass-passed my alarm and almost showed up late to practice at 700 am this morning uh that was uh definitely stressor early in the morning that didn't really anticipate uh with that said um i'd say learned my lesson but also got some good support from my peers and teammates um telling me that no big deal and it happens to everybody and that was uh good to see out of my teammates uh after that class was no problem uh no academic stress today um trying to get ahead in one class in particular um with the problem set due at the end of the week did finished my math problem set due wednesday so gave um didn't procrastinate that and usually do not have problem procrastinating um if anything try and get everything done as soon as possible um other than that spent some good time with teammates and friends at dinner um and we just hang out for while came back and didn't have really more work to get done tonight so um cleaning the room actually was kind of de-stressor for me um and with that said the stressor from the beginning of the day really hasn't uh lingered it was more short-term acute stress um but other than that you know try and get good night sleep tonight uh and win the day tomorrow 
14,today started with good good night sleep and felt well rested showered went to breakfast and felt and at breakfast uh got some work done which felt good felt pretty determined uh got that work done in reasonable amount of time uh after that work was done felt uh towards the afternoon during my afternoon class felt little lethargic in the in the lecture but that could have been combination of the class or maybe um don't know why after that headed over to the across the river for practice and lift where feel like my energy um increased again with that said i'd say my muscles was particularly or out of the ordinary they was sore and tight um think that worth noting uh after that um met up with uh friends and spent some time working on homework together uh in very non-stressful way 
15,today was fairly bland day i'd say felt like was just going through the motions of my three classes my day was pretty pretty jampacked uh with classes and tried to get little work done in between uh think feel uh i'd say physically sore from yesterday workout which mentally makes me feel good feel like uh that makes me happy like did good job but think energy level-wise it might makes me little bit slower um which don't know if can say impacted how my day was but it was something noticed throughout the day um in terms of relationships i'd mean uh dealt with lot of not lot of people today but um in-class discussions and um an entryway meeting uh with lot of people so there was lot of uh communication today uh think what need to do is call home and just touch base um with uh parents and brother and just see how they're doing and think that'll uh that'll be beneficial 
16,today was good day with not too many highs or too many lows or any it was well structured day in the with the bookends in the morning and night doing work and in the middle uh going to class and practice and lift and all of those things went really well uh felt focused and felt like could get my work done uh efficiently wasn't wasting whole lot of time feel like knew what had to get done and got it done uh and good amount of my work was with others which usually uh don't do so those was um productive and wasn't sure if it would be uh especially going to office hours with with teacher and with large group of people uh working in those group setting was definitely productive uh yeah no no complaints on the day uh didn't really others than in like an academic standni standpoint didn't really have any interactions with others people those was out of the ordinary beyond friends and seeing people in passing um think the day started with good night sleep which will try to get tonight 
17,today was normal day uh will say felt particularly productive in the um time that was doing work uh as far as classes went they felt like was focused and following along without any problem uh i'd say interactions with people today was was good no i'd say nothing out of the ordinary um met some new people today um and had some conversations but nothing particularly deep um they was nice calling home today and chatting with the folks hopefully planning on seeing them tomorrow um that was definitely good definitely nice to touch um touch base with them and i'd say in terms of uh eating today um had little extra dessert that probably didn't need today but uh they was hard workout so my legs are pretty sore and um we'll see how feel tomorrow 
19,today started with probably not enough sleep um my sleeping hours uh were little later than usual um had plenty of energy early in the day and then i'd say around o'clock got um fairly tired but didn't want to take nap because thought it would uh hinder tonight sleep and there wasn't whole lot of anything going on today just kind of went through the emotions feel um dealing with people who are just normal friends noth nobody no new connections made today um in the my free time just did work that had due um this upcoming week um nothing particularly noteworthy uh or difficult um felt felt fine today um just uh wish got my normal sleep because tomorrow have to get up particularly early for practice uh so think that are the big key are my sleep and that leads to more productivity 
