doc_id,text
15,so today has been great day did quite bit of work i'm pretty happy uh got this whole survey thing up and running with some help of the people running it all so i'm extremely hyped for that has been doing lot of reading today uh so kind of catching up with that has did rehearsal for one of our plays which i'm super excited for uh it was lot of fun it was lot of laughs and enjoying other people um got to interact with some other people in our entryway some awesome entrywaymates uh they're really funny really nice people they're really down to earth which is something that really enjoy uh want to decorate our living space and so i'm gonna do that sometime soon uh i'm planning on getting some posters some banners of our favorite sports teams um has our to-do list and it pretty organized which is something that take pride in something that awesome is seeing it go down and so today actually did not make it go down but made it go up but it kinda made me happy because it-it nice to know that i'm keeping on top of thing and i'm preparing for thing so also sat with some good friends during lunch today uh we had lot of fun we joked we uh talked about some stuff we really just we really just made jokes and made each other laughs uh bought some red bull to help me concentrate so the next time that i'm feeling little bit unfocused or distracted or tired can take drink of red bull and hopefully focus more and get ahead in our studies and in what do changed location of one of our posters yesterday and now it place where can see it whenever studies and it and it pretty awesome posters it uh and it has the innermost limits of pure fun on it that the title of the posters and really like that so whenever i'm studying it kind of guess make me feel happy glad and it get me more hyped for studying um i'm worried about our plants has three succulents that may need wa-water but i'm not entirely sure so i'm gonna keep some eye on them and see how they're doing and if it look like it need water or less water i'll be giving it to them but don't exactly know what signs to look for so i'll probably look on the internet uh today or tomorrow to find out what happened so that been our day so far i'm just going to do some more studying hang out with our roommate for little bit more and turn in some discussion questions online and that will be our day all right awesome 
16,today has been pretty dope day i've enjoyed it had class had two class today which was awesome one was an acting class one was religion class about christianity it was really interesting the discussions in our christianity class was really deep it was really good had lot of fun with it uh wish ha-had came little bit more prepared know an other people was little bit more prepared but know the bible fairly well so it kinda helped that lot our acting class was lot of fun we got to see an performances and it was nice seeing other people kind of work on their scenes it was nice to know that we weren't all uh or that we was all on the same boat and it was uh nice to see that there an people also struggling with their scenes i've worked little bit ahead on our scenes so getting an work done ahead of time uh making me extremely excited uh im in our opinion think working ahead is awesome think taking breaks if you is cramping is good um something that tell our roommate in our religion class there an awesome group of people there very pretty girl that sits next to me i'm gonna try getting to know their better [laughter] uh but mainly it joke but just wanna know everybody else in the class fairly well 'cause do love interacting with people so our goal for this week is probably going to be to interact with everybody in our religion class 'cause that smaller class think that might be our smallest class um i'm going to see show later this week saturday night with the people in our freshmen seminar i'm super excited for that i'm super excited to be watching sh another show with them this will be our second show watching together the first show left me feeling awesome and wonderful and so throughout this entire day i've been thinking about that show is it gonna be abstract is it gonna be different is it gonna be something similar to what i've seen before don't know tomorrow plan on doing lot of reading lot of getting ahead lot of uh being more prepared uh so that way can kind of chill throughout the week and just enjoy our time and so that way can be good student meant to call our family today kind of lost track of time so intend on calling them tomorrow hopefully in the afternoon and i'm excited for that am currently sitting in the recliner that our roommate bought and it makes me feel kinda bad that he bought room or that he bought recliner um but it was 40 and he was like no don't worry about it man wanted it and it in their side of the room so it not too big of deal but speaking of chairs got leather chairs today that our proctor was giving away so i'm really happy about that so we has an pretty dope chairs in our room it makes it feel little bit homier uh really wanna get an posters i'm pretty sure mentioned this yesterday but that the plan life is good life is great cool 
17,so today has been good day today went to class went to math had fine time with that it was nice went to or after that came to my dorm cleaned everything up it made me feel pretty good to like take out the trash and be productive and make my bed and clear out my bed and stuff uh hung out with one of my friends she great she great person really nice um and we just chilled at her place for really long time uh more than thought would so but it was nice it was cool just to kind of unwind and laugh with somebody um she great person and after that came back to my dorm read some more did some more homework hung out with my roommates actually yeah came here did some more homework then went and took little walk outside and some of my friends was going to [redacted] and it asked me if wanted to go to [redacted] and said yeah sure and so went to [redacted] today on whim notice um we ate at really expensive restaurant and then was like oh man don't like spending money so was like oh man but had great time uh enjoyed my time with friends regardless of the money had some awesome ribs that was just so good and it reminded me kind of little bit of home um got kind of homesick while we was driving because was looking at the skyscrapers and it reminded me of city that close to my town and was like oh man and it kinda like hit me but it didn't hit me hard so was like okay like it kinda came and went and felt like should has felt more homesick but didn't and that kinda made me feel little bit weird uh the the the thing went by quite quickly need to call my parents haven't called her in while um so hopefully would do that tomorrow 'cause haven't called her uh since september 4th and today is the uh 15th slash 16th it been over 11 day huh i'll call her tomorrow or today later today it like 100 in the morning right now um right now me and my roommates is about to play catan really like board games it really fun uh i'm gonna do some homework beforehand 'cause we're all just chilling right now so i'm gonna do some homework i'm gonna do some reading kinda get ahead and you know stay on top of thing um tomorrow i'm gonna hang out with friends and i'm excited for that i'm kinda tired kinda not really like this just talking for one to four minutes it just nice you know anyway i'll talk to you tomorrow survey uh research thing bye 
18,so today has been fun day it been very eventful woke up today fairly late like around 900 had an interview slash informal meeting with one of my professors had lot of fun during that uh he one of my acting professors and he absolutely just fantastic he he gem he makes anyone feel comfortable uh and don't know if every professors makes their students feel like that but he genuinely just gives off this vibe of being comfortable and being happy and it something very nice to has hang out hung out with lot of friends today we saw an shows we just hung out had good time and don't know just feel little bit disconnected like was kind of like an outsider looking in um and know that it mean well and know that they're my friends and all it just don't feel as connected as want to be and you know the people like me and stuff and you know it always talk about how great and funny am and stuff and they're really kind and nice but it just it feel don't know it don't feel like belong not necessarily that don't belong or that am an outcast or whatever but it it just feel like i'm step behind where should and it kind of frustrating but they're my group of friends they're absolutely fantastic it am wonderful and nice and funny and kind and don't know they're blessings beyond my imagination so came back to my dorm later that night um was really hungry so we went to go get [redacted] it was nice restaurant um we bought an chips was still little bit hungry and mainly just wanted an grub kind of to you know an junk food to get me away from the whole feeling little bit disconnected and stuff called my family today it was nice um it was nice just to hear their voice and hear their plans and stuff and hearing how it plans on living their life and it was nice um and they're sending my computer up which i'm super super super excited for it has my video games it has my theater pieces it has lot of my work and it just makes me happy to know that it coming up here so that really what i'm looking forward to all right well thank you phone for recording me good night goodbye 
19,it has been great day um went to church early in the morning realized need to reestablish some of my priorities uh reestablish my life kind of in way really need to guess kinda get my life in order not necessarily like completely and to the tee but just has that sense of diligently seeking what is right and uh was pretty happy about that um today uh was kind of annoyed because the church is uh 53-minute ride think and it it was nice church not really one that will probably go to um consecutively i'll probably go to different church uh it it was great and all but it just wasn't for me i'm looking for something maybe little bit different that being said had good time it was nice to be in church setting again called my friend really missed him haven't talked to him in really long time so hearing him and me kind of like giving out spiel on how i've been feeling recently about uh you know feeling extremely happy but also to some extent lonely simply because uh i'm in new environment i'm in place that haven't been to you know i'm experiencing new things new emotions and it just feels different and for me consider myself as strong individual that is able to overcome anything but it still was extremely different to be in that situation of just newness so uh know last night was kind of little bit down kind of really really really tired went to i've been sleeping little bit less uh and whenever throughout the day feels fine like feels great feels compelled to do things and i'm ready to do work and everything else but once it get to nighttime get extremely tired um so i'm gonna see if can kind of fix that up bit try not going to sleep so late know one of these night these week went to sleep like around 500 and uh that was really late we was watching movie um so tonight i've just been doing homework i've been doing lot of homework today lot of reading been very productive it nice to see that uh i'm doing great i'm very happy love these college love my room love it all and genuinely am doing good and it nice to know that it feels like has place here feels like belong know that belong and though at time it might not feels that way know that do so that my audio log for today am currently doing laundry and i'm gonna get back to doing homework night 
20,so today was very interesting day because today went to class uh enjoyed my class enjoyed math so that was an awesome thing afterwards came to my room read for bit just relaxed and then went to lunch actually right before went to lunch my friend came in who is almost like my third unofficial roommate and brought in water jug which we have been looking for for so long and him bringing it in we fold it up we installed it and it felt so awesome we was so excited it so nice to have water in my room it the little thing that love uh went to go get lunch after lunch helped my friend take printer to her dorm and then went back to my dorm and chilled for bit and read for bit and then my friend asked me to help her and her roommate move couch up to her floor and so helped him do that um and maybe it southern hospitality but enjoy helping other people out and it was really nice to see her expressions of just like in awe that somebody helped him carry couch so far from the mail room to her dorm up up an stairs and help him install it um we had lot of laughs and it was just nice to connect with people like that it offered to buy me food asked for red bull and it said that thing will kill you [laughter] so we'll get you something else which think was really sweet of him and kind of unnecessary didn't did it because wanted to not because you know was looking for kind of reward but it was nice and it it have an funny photos which have now of me carrying it and installing it so it was pretty great uh after that we had meeting with my entryway it was uh something that feel like we should have had during pre-orientation so was kind of distracted throughout but was still you know trying to be engaged trying to be interactive because know that it was an important issue uh afterwards did an homework did an reading uh ate an orange which was really good it was really good orange it didn't have seeds and that was awesome because seeds is very pestering especially whenever you take big bite into an orange slice and you find seeds in the middle it just kind of disappointing you know 'cause then you gotta take time to like spit out the seeds and you know all that stuff um like mentioned and guess that my theme for this audio log is th love the little thing absolutely do they're great they're wonderful and think people forget how awesome it is all right cool night 
21,so today was interesting today was really busy you like like all my tuesdays all my tuesdays are very busy they're they're very like back to back to back to back to back and um normally that not problem after class ate with some friends had good time just got to chill and relax around 420 got text that close family friends had passed away today and it doesn't feel real it feel like joke uh uh or not really joke but it feel fake it feel surreal like it guess it because i'm not home and this are one of the very few time that i've actually called my hometown home since i've been here at college after hearing that and after calling my mom to make sure that it was true and stuff to really hear the voice went outside and took walk didn't cry wasn't super down remember just stood in front of the yard and just stayed for bit had cup of tea with me or or mug and just walked just kept walking and would just make random turns just kept walking there wasn't much that was on my mind though just kept walking kept spilling some tea and it didn't really bug me uh just kept walking haven't really told anybody um didn't feel like there was need to doesn't know i'm just kind of the kind of person that if have problem usually like to keep it to myself not necessarily because find it as sign of weakness but just because uh it how like to be so ate dinner with friends had good time you know was laughing and joking and but it felt like was step behind went back did some homework and uh hung out with my friends uh girl that i'm interested in doesn't think she interested in me but that okay so we ate popcorn and watched game of thrones and it was nice little thing it was nice little experience just to like you know sit down with good friends and just chill it was nice it was kind of like nice little turning off the brain and now i'm about to go do some more homework maybe go get like midnight snack later on uh but that my plans for tonight it really just to do homework and do some reading and get ahead in class i'm overall still really happy even though you know there was death of loved one but you know what can you do it'll be alright thing will always be alright believe that 
22,so today had class early in the morning um or not really early it was around 1000 uh it was solid class had left when got to meet some new people um which was nice click during the surveys whenever it says how many people have interacted with face to face don't know if it means average to every people or average to myself so i've been doing uh average to myself uh if it is average to myself i'm more of sociable people so do meet lot of people throughout the day um hung out with my roommates hung out with some friends um and it was it was nice you know it was really chill it nice whenever i'm hanging out with my friends especially feel like part of my brain just slips away like as if you know lot of my stress just kinda goes away and i'm not normally stressful people 'cause see the stress and think to myself everything gonna be fine and so just don't dwell on it so normally don't feel stressed uh pretty much at all uh today had rehearsal which was nice got to interact with some new people um the number of people was just about the same the people was different like people that interacted with and it was all super um inclusive it was all you know came into this rehearsal and it was my first rehearsal group and it was very willing to bring me in and it was nice and had good fun time with them uh you know we laughed we had some jokes and stuff i'm looking forward to class tomorrow actually really am um did my reading for my class which normally don't do majority of it because it over things that have already read so don't worry too much but today was like i'm gonna read at least 90 of the reading for tomorrow and that exactly what did tomorrow on my way to class or in my free time in the morning before my class i'm going to finish the rest of it um just to be little bit more prepared um 'cause do enjoy my religion class and that what the reading is all for also have acting class of comedy had already presented so you know it really big relief whenever you don't have to present anymore 'cause remember whenever did have to present now forgot to mention this in my other audio log but was was kinda nervous remember feeling my heartbeat inside but you know it was pretty chill time you know still was all right and so i'm excited uh uh i'm excited for tomorrow it gonna be chill day i'm gonna get lot of work after class done also uh didn't realize it was wednesday until tonight like was on the phone with my mom it was them birthday today and so told them happy birthday and called them in the morning and also called them at night and sent them text throughout the day so it was nice um but it feel weird because wednesday is normally church day for me so it feel kind of less busy to some extent which is fine but kinda miss you know church on wednesday anyway that my day that my thoughts that is my emotions uh night 
23,today was fun day today ate breakfast with uh some of my friends from the pre-orientation program after that went to two classes felt really interactive during that classes um especially my second one didn't talk as much during the discussion but just felt more interactive think it because did more of the reading that felt more kind of involved and and enjoyed that like was able to give things more of my attention notes just came easier and guess just coming in with the mindset of did my work i'm prepared feel good you know and so it gave me that like confidence as went in after that ate lunch with my roommates which was nice we had good time we laughed um ate little bit more sweets throughout the day than would have liked after lunch took nap here in my dorm and then went to one of the labs and sat down on computer and said i'm gonna do as much work as can went through quite bit of work did uh some emails and stuff was pretty productive and it felt good uh but felt like it took me longer than would have liked um and once got done like around 600 me and my roommates we went and we went to go eat lunch or go eat dinner after that had rehearsal uh and about me eating felt good eating with them have been eating kind of healthy eat salads and one other entree but i've been eating little bit more than some entree and so need to watch that and i'm kinda cautious about that 'cause i'm starting to feel like uh more self-conscious about my weight uh but it also makes me excited because um if can get into this rhythm of this diet of one salads one small salads and one entree it will be discipline then i'll feel good in my life so i'm excited about that um had rehearsal today for one of my plays wasn't needed as much as some of the other uh but still got to have fun with them and felt little bit don't wanna say disconnected but slightly out of place might be the word because i'm i'm the only nonmusical part in the plays and so all need to do is just speak in rhythm and so came for about some hour more or less to rehearsal and though that was fun and got to interact with the cast little bit more there is some members of the cast that simply do not know uh more than their names and so because of that i'm looking forward to getting to know them more uh we're gonna have little get-together on saturday and so that something that i'm super super super hyped for uh just spending time with the cast getting to know them interacting with them really like interacting with people uh that being said had study break at with my entryway and afterwards hung out with some of the people from my entryway and it was really cool um we talked about lot of stuff and we got onto personal level at some moments and we laughed and it was nice it really was nice and look forward to doing that again hopefully sometime soon 
24,today was fun um went to class uh afterwards hung out in my dorm for bit took pretty sweet nap it was pretty great uh hung out with my roommate and good friend of mine and we hung out here for bit uh eventually went and bought cards against humanity uh pretty fun board game so i'm really excited to eventually play that uh we hung out here for bit and then went to rehearsal where had lot of fun got to hang out with the cast for bit wasn't needed for long but it was long enough um afterwards went to show went to go see reversal with some people in my freshman seminar and it was huge amount of fun it was such cool show uh really enjoyed it really enjoyed uh the performance and we really had good time um it was just nice to be in each other company some of them went to go party at uh frat party which uh didn't really wanna go to because getting back would be hassle and partying in place where wasn't used to don't know it made me tiny bit like kind of nervous not really like nervous but just like cautious and so was like nah i'm not gonna go lot of people have the same idea so we came back and we ate some fancy waffles and it was nice just to like sit down and eat and we talked about my love of food together it was good time so right now it pretty late i'm getting pretty tired i'm gonna brush my teeth i'm just gonna watch netflix until go to sleep pretty excited about that um think that about it hmm talked lot less today wonder if talking to myself or talking to the phone like feel like it would help you out like feel like it de-stresses 'cause enjoy it like look forward to talking to this every day and don't know why maybe it 'cause don't talk about my day with people it just not in me like i'm i'm not used to it but talking to machine i'm down for [laughter] don't know enjoy this mean it fun well i'm gonna watch netflix bye 
