doc_id,text
9,today went for my first visit with the neuroscience study and honestly it sounds pretty interesting pretty simple so i'm definitely gonna try and do my best with all of these and let see woke up these morning really early because had an 800 am meeting with my academic adviser and then walked out to [redacted] labs to get fitted for my fitbit and to sign all the papers and everything but that worked out because actually have class in [redacted] anyway so then had class from 1100 to 1200 and again from 100 to 200 uh between that got lunch with an friends and so that was nice and liked the kids in my [expos] class they're really funny and then after that had to go to softball practice so walked across the river um went to practice and then had to run out early because had math test in the science center that had to be at and so took that and then missed dinner because the math test was 630 to 830 and just got done little bit ago so that okay but have snacks in my room so it'll be fine and i'm about to take shower and relax might go hang out with friends to watch tv in little bit um i'm excited for my softball team pictures tomorrow and for my first full practice but also have math in the morning tomorrow and i'm not that great in math so i'm little bit worried about getting into that with problem sets and everything and also have japanese tomorrow which is fairly stressful pretty hard language to pick out but feel like it gone all right so far so i'll just keep working at it but that was my day 
10,today woke up went to class um went outside oh went to practice also went to the training room to see about my elbow 'cause it been hurting me and have torn ligament but i'm gonna get it looked at gonna get it taken care of it gonna be okay and then we went to softball party tonight and then we went to final club and we partied for while met some new people so made some new friends and um that was my day 
11,today woke up and went to breakfast at [redacted] with some of my teammates so that was really fun and we just talked about the season and how classes was going that was super good and then had to go buy book for one of my classes and after that hung out with friend took really good nap and then um around dinnertime went and got some dinner and then went back to my room and did some homework needed to do and ended up finishing out my entire math set tonight so that was super good uh talk talked to my mom for little bit was glad to hear from her um and also went through some music on spotify and found some new good songs um some of my roommates went off to party but think i'm about to just go hang out and watch some tv somewhere and then have practice early in the morning so gonna go to sleep at decent time for that and that was really my day texted some of my friend back home and they're doing well miss her they miss me but i'll see her in few months so they okay and that was my day 
12,um this morning had to be up super early because had practice at 900 am and so woke up went to get breakfast went to practice from 900 to 1200 then had to rush to take shower and eat some lunch and then had concussion testing at 100 and after that came back to my room took like three-hour nap and then woke up went to eat dinner with my roommates so that was fun and then um after that had some homework needed to do so went to the science center with one of my friends and we worked on homework uh until about midnight and we just came back and my roommates am so awesome they brought me macaroni and cheese because they knew was busy studying and that i'd be hungry so now really need to go to sleep because have to be up at 530 in the morning to go to lifting for softball at 630 so really need to get some good sleep after eat my macaroni and overall my day was pretty good just really busy but that they 
13,today woke up at 545 and walked across the river to [laughter] to um go to workouts with the softball team and after that went to breakfast with my team and after that had class at 1100 and had another class at 100 um had quiz in japanese it wasn't too bad and then after that did lot of homework and then went and got dinner and did lot more homework have another quiz in japanese tomorrow and another the day after that and another one the day after that and full essay in japanese due on wednesday that have no idea what i'm doing for and tomorrow have class and practice and that was my day 
14,today woke up spent the night in my friend dorm and then came back to my own dorm took shower got ready for the day packed all my stuff talked to my roommate little bit and then went to breakfast with one of my other hall mates and then had japanese class and had [expos] then had practice from about 300 to 700 and then went with my team to [redacted] and [redacted] and then was in the basement of the science center studying and doing homework until 1130 then came back to my room hang out for little bit and then went upstairs to one of my friend room with some people and talked for little bit and now i'm back in my room in my bed getting ready to go to sleep um have quiz [over] some entire lesson in japanese tomorrow i'm kinda scared about it kind of stressing 'cause i'm not that confident in learning japanese yet because it said it was beginner course but really don't feel like it beginner course they're going really fast and there so much information and so many speaking techniques and writing techniques to learn so that just really hard and really stressful like had some essay due in full japanese writing today and it was pretty sudden and also did some entire pset tonight for math tomorrow so i'm very very tired um don't understand my math but i'm also some athlete so have no time to go to office hours because my tf scheduled his office hours from 200 to 300 right in the middle of the afternoon when out of the 10 kids in my math section have practice and he knew that so that was really annoying because now none of us can go to his office hours because he scheduled them right during my practice when he made us fill out sheet saying when we couldn't be there and we all said we couldn't be there during the afternoon so i'm kind of angry about that inconvenience there that just and it not just us um i'm really don't know i'm just taking it day by day that all got for today so that it 
15,today woke up didn't have softball went to breakfast um had math at 1100 don't understand my math uh had meeting with my math ta he knows don't knows what i'm doing and still schedules his office hours where can't go had quiz in japanese wasn't too bad and my seminar was fun we just talked for two hours while my philosophy professor sat and thought about the world then went to dinner then did bunch of homework now i'm tired i'm gonna go to bed have another japanese quiz tomorrow and another math meeting so that my day 
16,today woke up and had meeting with my math tf so we went over uh one of gateway exams and then after that had really quick breakfast and then had japanese had quiz over hiragana which one of their writing alphabets feel like it went okay um then had really quick lunch and then had [expos] and was super super super tired felt like was falling asleep in there um so i'm really not sure what all went on discussion-wise and then after that had to walk across the river for practice um which was fun it was good then we went to my [lift] afterwards in [redacted] and it started storming while we was in there so we walked to [redacted] for light meal in the rain and then after that um came back to my room um talked to my roommates for little bit because one of my roommates has friend that passed away on monday so she been going home every night she lives really close by so feel really bad for their it rough time but after that got my stuff together went to the mqc for my pset and then did some japanese homework and then met one of my friend in the [redacted] then we walked back and we talked outside my room for little bit and then um we both has to be up early so we came to sleep and talked to my hall mates for little bit and we played some music and just had good time and then some of my friend from home facetimed me and got to talk to them for little bit and now i'm really tired and need to go to bed because has to be up at 630 so that was my day 
17,okay had one hell of day it was super super stressful so woke up this morning at 630 and had to go across the river to get molded for mouthguard then had to come all the way back across the river to the science center to get picked up by an uber driver to go to [redacted] to get an mri on my arm that hurt back in july and so called last night to schedule and it told me that this mri would only take like 15 or 20 minutes actually get there today and it told me it would be 45 minutes to an hour so freaked out because had class at 1100 and it was already like 930 and wasn't even back getting the mri yet so emailed my math tf and explained everything and was like sorry didn't know it would take this long might be late is it okay to turn my problem set in when get there and he emailed me back and said sorry about your luck if you don't show up it zero so that was the start of my morning get out of my mri and i'm already rushing to try and leave but of course had to um get copy of the actual images so had to wait for that and then also had to wait for my uber ride back to get there which um the first one didn't show up so had to request another one and finally got back to [redacted] and then so i'm like rushing to get to my math class make it but make it late so anyway get to hand in my set that okay so make it through that class and then after that um went to the mail center got package from home that was the only good thing about my day really then go back to my room and uh yeah it was package from my parents with like snacks and soft blanket and thing like that love them lot um but then anyway so it like 1115 by this time or not 1115 it like 1215 have class again at 100 but i'm super super tired because had to wake up at 630 so lay down for nap set my alarm for 1240 so can get up and walk to my next class but my ringer wasn't on so my alarm never went off so slept till about 130 140 like almost all the way through my second class so again that was awful and then had to go to conditioning for sports so went across the river um [ran] my conditioning test in [redacted] passed it so now the 9th person out of 22 on the team to pass so that was highlight of my day and after that showered got ready went to church with one of my teammates went to like social afterwards which was pretty fun and then came back to my room had an snacks talked to my roommates um now i'm laying in bed have practice again in the morning at 900 but can't really sleep don't know why but i'm gonna try so that was my very stressful hectic day it wasn't that great but tomorrow will be bit better that all 
19,um okay so today woke up and had to go to the training room to rehab for sports and then after that [inaudible] after that had um brunch with my roommates and then um what else did do spent lot of the day doing homework spent really most of my day doing homework and um also went to club meeting so that was really fun and then uh got coffee with some [inaudible] and made some new friends and uh one of my friends came over to my room for little bit and have to be up in about three and half hours to go to morning lift but had stay up early because had paper had to finish that due tomorrow so got everything done but i'm gonna be super tired tomorrow so we'll see how it go um two of my best friends from home facetimed me tonight so that was great miss them lot one might visit me actually um so yeah that was my day 
